,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Actinobacteriota,0.141252,0.132524,0.16314,0.190451,0.211572,0.239361,0.280598,0.226673,0.33854,0.36782,0.194333,0.11102,0.164337,0.211572,0.210223,0.264096,0.245093,0.252335,0.189166,0.212926,0.196941,0.211572,0.145726,0.262615,0.196941,0.204862,0.262615,0.305229,0.223893,0.172833,0.261137,0.283638,0.449662,0.117959,0.237937,0.236516,0.21701,0.270054,0.164337,0.235099
Actinocorallia,0.141252,0.132524,0.16314,0.190451,0.211572,0.239361,0.280598,0.226673,0.33854,0.36782,0.194333,0.11102,0.164337,0.211572,0.210223,0.264096,0.245093,0.252335,0.189166,0.212926,0.196941,0.211572,0.145726,0.262615,0.196941,0.204862,0.262615,0.305229,0.223893,0.172833,0.261137,0.283638,0.449662,0.117959,0.237937,0.236516,0.21701,0.270054,0.164337,0.235099
Actinomadura,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Actinomarinales,0.177958,0.167403,0.204181,0.236422,0.260997,0.292866,0.33921,0.27838,0.402484,0.433669,0.240961,0.141161,0.205604,0.260997,0.259436,0.320799,0.299375,0.307568,0.234916,0.262562,0.244006,0.260997,0.183346,0.319137,0.244006,0.253223,0.319137,0.366366,0.275192,0.215683,0.317477,0.342583,0.518154,0.149666,0.291246,0.289628,0.267275,0.327466,0.205604,0.288012
Actinophytocola,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Adhaeribacter,0.141252,0.132524,0.16314,0.190451,0.211572,0.239361,0.280598,0.226673,0.33854,0.36782,0.194333,0.11102,0.164337,0.211572,0.210223,0.264096,0.245093,0.252335,0.189166,0.212926,0.196941,0.211572,0.145726,0.262615,0.196941,0.204862,0.262615,0.305229,0.223893,0.172833,0.261137,0.283638,0.449662,0.117959,0.237937,0.236516,0.21701,0.270054,0.164337,0.235099
Adhaeribacter_terrae,0.556061,0.537751,0.597503,0.641766,0.671426,0.705563,0.748122,0.690599,0.79581,0.815859,0.647489,0.487441,0.599602,0.671426,0.669635,0.732106,0.712009,0.719891,0.639842,0.67321,0.651263,0.671426,0.565028,0.730605,0.651263,0.662385,0.730605,0.769874,0.687186,0.614066,0.729097,0.75094,0.861533,0.504553,0.703932,0.702293,0.678512,0.738033,0.599602,0.700647
Aetherobacter,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
Aetherobacter_rufus,0.216769,0.204485,0.246993,0.283585,0.311065,0.346184,0.396238,0.330292,0.4627,0.494688,0.288688,0.173642,0.248621,0.311065,0.30933,0.376494,0.353286,0.362191,0.281889,0.312803,0.292103,0.311065,0.223013,0.374703,0.292103,0.30241,0.374703,0.425022,0.326779,0.260119,0.372913,0.399834,0.578909,0.183685,0.344412,0.342642,0.318029,0.383666,0.248621,0.340873
Agromyces,0.323648,0.307687,0.361889,0.406317,0.438413,0.477935,0.531551,0.460253,0.598222,0.628617,0.412358,0.266492,0.363909,0.438413,0.436417,0.510769,0.485732,0.495419,0.404302,0.440408,0.41638,0.438413,0.331667,0.508861,0.41638,0.428418,0.508861,0.561032,0.456299,0.378055,0.506949,0.535287,0.703878,0.280086,0.47598,0.474022,0.446381,0.518372,0.363909,0.472062
