Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
uncultured_Cellulomonadaceae,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,37
uncultured_Chitinophagaceae,0,0,8,0,30,13,54,16,0,0,35,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,27,0,0,0,29,0
uncultured_Chlorobiales,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Chloroflexaceae,202,72,264,188,128,97,399,322,259,332,50,134,74,67,57,320,336,227,183,373,382,193,181,264,155,241,354,345,88,36,28,37,550,139,58,214,176,251,108,180
uncultured_Chloroflexi,31,39,0,24,24,130,0,0,1674,1397,131,21,54,1807,2263,34,18,0,0,0,14,117,18,127,259,232,0,0,3662,3010,81,98,371,25,178,0,0,80,31,35
uncultured_Chloroflexia,0,0,0,0,0,0,0,0,41,32,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,4,0,5,0,0,0,0,0
uncultured_Chloroflexus,0,149,97,105,42,27,98,104,95,116,58,33,52,200,48,127,273,320,199,117,173,197,81,149,160,236,160,141,0,0,0,0,283,39,134,347,264,411,194,440
uncultured_Chondromyces,0,0,33,22,0,0,61,34,0,50,0,31,18,0,0,29,54,27,25,35,0,0,20,23,22,9,52,87,33,20,27,51,60,0,0,41,46,0,0,0
uncultured_Clostridia,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,9,0,0,0,41,0,0,6,0,0,0,0,0,0,0
uncultured_Clostridiaceae,0,0,0,0,14,26,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Clostridiales,45,0,0,0,0,11,0,0,92,49,54,0,21,0,0,53,18,0,11,52,19,0,19,0,0,13,0,34,165,178,6,133,134,16,52,0,0,16,35,0
uncultured_Clostridium,9,9,0,0,6,0,0,3,3,5,10,0,10,0,5,0,0,0,0,37,0,0,7,0,3,0,4,6,0,0,22,11,0,0,0,9,0,18,21,0
uncultured_Colwellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,28,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Conexibacter,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,78,51,56,0,0,0,0,0,0,0,0,0,0,0,0,45,70
uncultured_Conexibacteraceae,438,1365,1604,1060,489,210,955,802,77,240,535,436,620,451,644,993,1129,189,39,425,224,23,262,34,26,21,811,716,303,68,492,566,643,89,127,114,49,117,1883,104
uncultured_Coriobacteriia,0,0,0,0,0,0,0,0,0,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,13,28,0,0,19,0,0,0,0,0
uncultured_Crater,2,0,7,25,8,11,19,13,28,40,0,0,9,0,18,29,13,4,39,16,29,68,6,40,49,38,6,18,0,4,4,6,40,0,50,32,60,8,7,19
uncultured_Cystobacterineae,170,432,630,635,115,124,102,120,42,64,241,91,233,149,242,334,255,86,0,42,18,0,133,27,26,0,35,31,260,128,174,313,200,78,163,53,42,89,732,141
uncultured_Dechloromonas,0,0,0,0,0,0,0,0,15,0,0,0,0,43,84,0,0,0,0,0,0,0,0,0,0,0,0,0,90,102,0,0,0,0,0,0,0,0,0,0
uncultured_Defluviicoccus,0,438,320,335,0,0,0,0,25,43,74,0,31,375,435,264,232,615,929,254,98,112,0,55,87,97,103,104,0,0,40,113,168,0,27,467,438,668,659,512
uncultured_Dehalobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0
uncultured_Dehalococcoidia,0,0,13,0,0,0,11,0,0,0,0,0,0,0,0,0,20,0,14,26,51,56,0,50,70,99,0,0,0,0,7,0,14,0,23,11,16,19,0,0
uncultured_Dehalogenimonas,0,4,12,12,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,11,0,0,0,0,0,0,5,0,12,21,14,16,12,0,10,0,0,0,7,0
uncultured_Derxia,0,36,0,13,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,41,29,26,20,31,18
uncultured_Desulfobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0
uncultured_Desulfocaldus,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0
uncultured_Desulfoglaeba,0,0,19,9,0,0,0,0,21,16,7,0,0,46,24,18,17,0,0,14,52,182,0,98,126,173,22,24,0,0,0,0,100,0,11,69,76,51,29,47
uncultured_Desulfovibrio,135,0,51,134,181,314,37,0,21,12,201,59,127,0,0,33,0,30,46,30,28,0,94,0,0,0,14,59,48,82,78,18,21,191,12,0,0,0,40,0
uncultured_Desulfovibrionales,33,17,0,19,45,34,14,38,0,15,64,22,71,66,45,102,102,56,19,31,40,62,25,55,72,68,34,31,21,17,34,67,102,30,19,50,44,43,20,62
uncultured_Desulfovirga,769,1729,1532,2051,794,842,1200,1070,437,512,1195,664,1170,1097,1041,1601,1356,955,587,1292,972,565,628,487,391,522,550,596,1219,777,1328,2332,1786,621,1259,327,297,363,2130,618
uncultured_Desulfuromonadaceae,0,0,0,0,0,0,0,0,17,33,0,0,0,39,58,6,10,26,46,0,136,63,0,48,65,95,0,0,0,0,0,0,189,0,203,0,0,0,0,19
uncultured_Desulfuromonadales,121,130,142,174,239,173,219,217,202,190,130,66,133,238,126,325,245,511,355,436,651,201,191,237,238,335,327,304,123,47,0,67,542,158,269,309,296,143,163,105
uncultured_Dongia,0,0,0,0,0,0,0,0,22,25,0,0,0,25,33,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,37,0,29,0,0,0,0,0
uncultured_Edaphobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,33,0,0,0,0,0
uncultured_Elusimicrobia,0,0,0,0,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,20,0,0,0,13
uncultured_Epsilonproteobacteria,0,0,0,0,0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Ferrimicrobium,128,28,53,52,415,388,234,201,111,189,125,116,126,94,103,108,201,68,0,229,133,49,168,84,0,53,142,173,214,47,213,273,190,143,126,18,13,12,57,19
uncultured_Ferruginibacter,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49,0,0,0,0,0,0,0,0
uncultured_Fibrobacteres,0,0,0,0,0,0,0,0,33,20,0,0,0,0,0,0,0,25,10,0,8,38,0,48,28,31,6,5,0,0,0,0,63,0,0,23,20,20,0,0
uncultured_Firmicutes,38,5,53,74,28,49,63,66,0,27,26,33,22,104,99,35,58,203,293,266,223,305,30,518,739,711,6,67,142,74,83,46,308,8,166,385,378,483,0,574
uncultured_Flavisolibacter,0,0,10,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,10,0,14,13,0,0,0,0
uncultured_Flexibacter,0,0,0,15,0,0,18,15,25,38,0,0,0,0,0,0,22,0,28,0,0,92,0,96,49,78,29,31,0,0,0,0,157,0,102,47,94,67,0,58
uncultured_Frankineae,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Fusobacteria,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Gaiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,0,28,0,0,0,0,0
uncultured_Gemmata,0,0,0,0,0,18,47,0,65,69,0,0,30,0,0,57,44,38,79,18,0,51,0,50,21,35,47,70,0,0,0,0,34,0,11,69,104,76,0,73
uncultured_Gemmatimonadaceae,90,8,0,0,0,0,0,0,34,28,0,17,0,65,70,0,0,37,44,111,173,199,0,162,182,218,10,0,22,19,0,0,203,27,55,98,96,51,27,0
uncultured_Gemmatimonadales,0,3,9,0,0,0,14,9,0,18,0,0,0,0,0,0,0,13,21,13,13,42,0,42,70,70,7,0,0,0,0,0,58,0,16,0,45,39,0,31
uncultured_Gemmatimonadetes,165,67,158,213,200,189,99,44,408,293,335,157,260,981,857,344,413,155,27,313,160,35,59,77,37,61,83,94,387,355,303,304,308,112,273,0,0,15,138,0
uncultured_Geoalkalibacter,0,0,0,0,29,67,80,31,34,84,0,0,0,0,0,0,0,81,61,33,66,52,0,7,129,50,34,73,0,0,0,0,103,0,0,105,120,190,0,176
uncultured_Geobacter,0,0,0,0,0,0,18,25,32,61,0,0,0,7,15,0,0,40,48,0,0,33,0,44,24,17,70,94,0,0,0,0,56,0,16,58,94,78,0,39
uncultured_Geothrix,0,0,0,0,0,0,37,11,114,125,0,0,0,0,0,0,0,92,216,0,0,130,0,145,37,49,104,96,0,0,0,0,201,0,105,121,180,155,0,137
uncultured_Gram-positive,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,33,50,0,0,167,0,106,0,95,38,28,0,0,0,0,131,0,19,152,117,163,0,239
uncultured_Green,0,0,51,70,0,0,0,0,143,144,49,0,0,16,22,94,72,98,73,140,221,159,0,145,94,108,9,0,50,41,0,17,240,7,140,20,21,136,20,125
uncultured_Haliscomenobacter,60,0,0,10,0,26,30,35,137,139,0,46,0,0,0,39,34,78,86,24,16,119,65,136,78,62,53,0,12,0,0,15,283,34,197,61,26,95,7,78
uncultured_Holophaga,170,4,84,136,509,319,35,50,207,98,375,129,209,197,279,427,360,227,151,117,206,137,284,133,124,19,104,82,231,214,400,264,235,276,180,65,114,9,44,19
uncultured_Holophagae,64,151,127,80,0,44,379,165,382,476,0,33,0,137,80,62,65,1015,1061,455,1040,1747,49,1915,1247,1712,511,522,55,38,34,43,851,50,328,924,1214,1227,230,984
uncultured_Hyphomicrobiaceae,395,85,109,108,675,713,255,233,101,97,1056,365,844,316,344,757,452,145,12,115,50,16,261,58,69,57,41,83,390,351,723,574,184,406,321,0,0,0,157,0
uncultured_Iamiaceae,74,53,81,55,83,108,0,100,28,65,41,84,37,40,72,67,85,53,34,97,0,0,94,16,14,0,0,0,170,70,150,179,54,67,20,27,12,0,86,0
uncultured_Kineosporiaceae,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,21,13,8,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Ktedonobacter,0,0,0,0,0,0,0,0,0,0,184,0,49,0,0,54,25,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
uncultured_Leptospira,2,10,4,0,0,0,0,0,17,29,4,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0
uncultured_Levilinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,76,38,70,0,0,21,22,0,0,0,0,0,0,0,0,0,0
uncultured_Litorilinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,104,123,148,0,0,0,0,0,0,29,0,0,8,0,11,0,6
uncultured_Longilinea,221,47,162,197,295,398,545,431,209,276,56,156,124,234,157,185,104,178,110,551,531,105,151,39,43,57,598,567,558,274,424,334,359,175,94,141,117,124,139,85
uncultured_Luteolibacter,625,375,597,564,973,737,1092,1246,289,423,1225,643,1092,132,130,1364,1277,644,288,1161,543,255,444,232,143,178,383,598,483,274,1092,1414,1799,387,1120,211,252,159,582,165
uncultured_Methanomicrobia,0,0,8,0,0,0,0,0,0,0,9,0,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,5,0,0,0
uncultured_Methylococcaceae,0,0,0,0,0,0,0,0,32,24,0,0,0,0,0,18,0,0,30,7,7,85,0,84,52,76,22,0,0,0,0,0,86,0,17,189,165,67,0,60
