,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Actinobacteriota,0.141184656,0.132453487,0.163075092,0.190384479,0.211501132,0.239280261,0.280493851,0.226596909,0.338381708,0.367623842,0.194265528,0.110933782,0.164271449,0.211501132,0.210151667,0.264002626,0.245009499,0.252248227,0.189098992,0.212854465,0.196873244,0.211501132,0.145659105,0.262522009,0.196873244,0.20479281,0.262522009,0.305104928,0.223818412,0.172767363,0.261044584,0.283531187,0.449317947,0.117880195,0.23785669,0.236436652,0.216937513,0.269956577,0.164271449,0.235020168
Actinocorallia,0.141184656,0.132453487,0.163075092,0.190384479,0.211501132,0.239280261,0.280493851,0.226596909,0.338381708,0.367623842,0.194265528,0.110933782,0.164271449,0.211501132,0.210151667,0.264002626,0.245009499,0.252248227,0.189098992,0.212854465,0.196873244,0.211501132,0.145659105,0.262522009,0.196873244,0.20479281,0.262522009,0.305104928,0.223818412,0.172767363,0.261044584,0.283531187,0.449317947,0.117880195,0.23785669,0.236436652,0.216937513,0.269956577,0.164271449,0.235020168
Actinomadura,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
Actinomarinales,0.177855883,0.167298661,0.204081005,0.236318432,0.260888154,0.292745621,0.339063555,0.278264923,0.402280717,0.433427378,0.240857291,0.141038027,0.205504322,0.260888154,0.259327214,0.320663489,0.299251427,0.307440136,0.234812749,0.262452315,0.243901111,0.260888154,0.183244547,0.319002831,0.243901111,0.253116235,0.319002831,0.366198108,0.275078216,0.215582651,0.317344322,0.342433269,0.517771586,0.149552406,0.291125695,0.289508439,0.267163851,0.32732698,0.205504322,0.287893883
Actinophytocola,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
Adhaeribacter,0.141184656,0.132453487,0.163075092,0.190384479,0.211501132,0.239280261,0.280493851,0.226596909,0.338381708,0.367623842,0.194265528,0.110933782,0.164271449,0.211501132,0.210151667,0.264002626,0.245009499,0.252248227,0.189098992,0.212854465,0.196873244,0.211501132,0.145659105,0.262522009,0.196873244,0.20479281,0.262522009,0.305104928,0.223818412,0.172767363,0.261044584,0.283531187,0.449317947,0.117880195,0.23785669,0.236436652,0.216937513,0.269956577,0.164271449,0.235020168
Adhaeribacter_terrae,0.555587111,0.537260556,0.597060751,0.641353315,0.671031926,0.705188115,0.747767979,0.690215925,0.795473895,0.815527159,0.647079947,0.486882605,0.599161603,0.671031926,0.669238998,0.73174403,0.711637122,0.719523489,0.639427751,0.672816652,0.650856044,0.671031926,0.564561397,0.730242903,0.650856044,0.661985021,0.730242903,0.76952863,0.686800867,0.613634732,0.728734269,0.750586742,0.861204431,0.504024303,0.703556255,0.701916511,0.678121752,0.737673951,0.599161603,0.700268863
Aetherobacter,0.106528757,0.099692,0.123820562,0.145700614,0.162858072,0.18575338,0.220418853,0.175253644,0.270570876,0.296579811,0.148838225,0.082985898,0.124771871,0.162858072,0.161755301,0.206446214,0.190521974,0.196570019,0.144662925,0.163964877,0.150950391,0.162858072,0.11004562,0.205198397,0.150950391,0.157384642,0.205198397,0.241528267,0.172963915,0.131546471,0.20395436,0.223007291,0.371767713,0.0883562,0.184570996,0.183392533,0.167309442,0.211475087,0.124771871,0.182217997
Aetherobacter_rufus,0.216630845,0.204344074,0.246856682,0.283444796,0.310919372,0.34602603,0.396053262,0.330140048,0.462461206,0.494413183,0.288546796,0.173479929,0.24848519,0.310919372,0.309184309,0.376321415,0.353124714,0.362026004,0.281749628,0.312656607,0.291961505,0.310919372,0.222875832,0.374531429,0.291961505,0.302266541,0.374531429,0.424817148,0.326628119,0.259981631,0.372742241,0.399646885,0.578507399,0.183534333,0.344254781,0.342484978,0.317880966,0.383488596,0.24848519,0.340716659
Agromyces,0.323409148,0.307443007,0.361655319,0.406084185,0.438177018,0.477691638,0.531289935,0.460012857,0.597924007,0.628295782,0.412124052,0.26621702,0.363675458,0.438177018,0.436181322,0.510515768,0.485486226,0.495169985,0.404069161,0.440171095,0.416145783,0.438177018,0.331429991,0.508608014,0.416145783,0.428183295,0.508608014,0.560756211,0.456059977,0.377821959,0.5066972,0.535023594,0.703476903,0.279826519,0.475736701,0.473779327,0.446143157,0.518115537,0.363675458,0.471819556
Alcaligenaceae,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
Algoriphagus_terrigena,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
Alkaliphilus,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
