,degree,betweenness,closeness,eigenvector,clustering
uncultured_Chitinophagaceae,213,0.001952292240344576,0.7482517482517482,0.07306085727482342,0.7125963327132607
Curtobacterium,210,0.0018930973918475744,0.7430555555555556,0.07193770495624115,0.7137844611528822
Mesorhizobium,207,0.0019261267124534708,0.7379310344827587,0.0708692990701069,0.7129590544533558
Microscillaceae,207,0.0015494549372045343,0.7379310344827587,0.07204725275381099,0.7346747338304958
Mucilaginibacter_aquaedulcis,207,0.0020873460975132864,0.7379310344827587,0.07058223873289539,0.7063458561981145
Caulobacteraceae,205,0.004461856925023885,0.7345537757437071,0.06818015160525016,0.6740315638450503
Terriglobus,203,0.0015845733845211176,0.7312072892938497,0.07043439765998256,0.7313563868702141
Novosphingobium,203,0.0017629600162320214,0.7312072892938497,0.07041646892318267,0.7307711066673169
Geobacter,202,0.002461894853743798,0.7295454545454545,0.06958242311091703,0.7193241712230924
Ellin6067,202,0.0013459338220785581,0.7295454545454545,0.07085559365327065,0.7487315895768681
Methylobacterium-Methylorubrum,202,0.0013805748424652131,0.7295454545454545,0.07049526635800026,0.7408009457662185
Stenotrophomonas,202,0.00266826626647147,0.7295454545454545,0.06867735495146562,0.7014925373134329
Mucilaginibacter_angelicae,201,0.0023651005276854966,0.7278911564625851,0.06883403540577303,0.7145273631840796
Kineosporiaceae,201,0.0014761941007905913,0.7278911564625851,0.07048290525815033,0.7485074626865672
Clostridium_sensu_stricto_13,201,0.0026817716994125087,0.7278911564625851,0.06749260922178843,0.687363184079602
Sphingomonas_crusticola,199,0.0013433411477191907,0.7246049661399548,0.06957830625595703,0.7442769402568398
uncultured_Acidobacteriales,198,0.001544011050897452,0.722972972972973,0.0682110188316667,0.7238373583551249
Rhizobacter,198,0.0013695276364007404,0.722972972972973,0.06992167762048171,0.7588063374865406
uncultured_Anaerolineaceae,198,0.0012482525509734503,0.722972972972973,0.06961311406011647,0.7542429369840538
Chryseobacterium,196,0.0027821128414762687,0.7197309417040358,0.06608860637262902,0.6935635792778649
Dyadobacter,196,0.0014298901422817418,0.7181208053691275,0.06815633130876082,0.7370486656200942
Frankiales,195,0.0010764893629654484,0.7181208053691275,0.06926052741399598,0.7698123182659266
Mucilaginibacter_calamicampi,193,0.0010250350973171763,0.7149220489977728,0.06877260402026324,0.7741796200345423
Gaiellales,193,0.0012498964571889622,0.7149220489977728,0.06771330597146492,0.7536161485319517
Promicromonospora,192,0.0024038741763737683,0.7133333333333334,0.06588919362723512,0.7174956369982548
Azospirillum,190,0.0012761738587852398,0.7101769911504425,0.06757490382455875,0.7693678641047063
Dongia_rigui,189,0.0011805318118981432,0.7086092715231788,0.06655025927042131,0.7588089609366205
Asticcacaulis,188,0.0010209921831152745,0.7070484581497798,0.06706520094171832,0.7760268517465013
uncultured_Myxococcales,185,0.0009612929352373108,0.7024070021881839,0.06596553078910805,0.7827849588719153
Umezawaea,183,0.001316063098665768,0.6993464052287581,0.06370540398145982,0.7420885125803158
uncultured_Steroidobacter,183,0.0011553071918400568,0.6993464052287581,0.06481377997071225,0.7636461898756981
Sphingopyxis,183,0.001249715261016892,0.6993464052287581,0.06425822466810327,0.7513360955983907
d__Bacteria,180,0.0018101721988163539,0.6948051948051948,0.061257739891821025,0.7112973308504035
uncultured_organism,176,0.0012830463713630878,0.6888412017167382,0.061427330272101066,0.7530519480519481
Herbaspirillum,175,0.0010166771419086954,0.6873661670235546,0.06267352422378487,0.7802298850574713
Solirubrobacter,174,0.0007823129745039126,0.6844349680170576,0.06293394990335766,0.8015414258188824
Bacteroidetes_bacterium,174,0.0006820836764816033,0.6858974358974359,0.06353405754905476,0.8153611055743805
uncultured_Flexibacter,172,0.0006036802503439472,0.6829787234042554,0.06322291147407554,0.8281653746770026
Afipia_genosp.,172,0.003218105043215952,0.6829787234042554,0.0588031493805718,0.7145382836937304
Rhodospirillaceae_bacterium,171,0.0006909069779109427,0.6815286624203821,0.06224711790619553,0.8096319229446164
Rhodocyclaceae,170,0.0008536030560369495,0.6800847457627118,0.06156063576997348,0.8044552732335538
actinobacterium_WWH12,167,0.0006319040507766306,0.6743697478991597,0.060824600513501234,0.8176177764952024
Micrococcaceae,166,0.0005335468272783114,0.6743697478991597,0.06117558679112428,0.8335158817086528
Betaproteobacteria_bacterium,165,0.000595743305731007,0.6729559748427673,0.060266881994564224,0.8254988913525498
bacterium_enrichment,164,0.0006910279644182009,0.6715481171548117,0.05940223267603849,0.8030824480023941
Intrasporangiaceae,164,0.0006965493063245202,0.6715481171548117,0.05919874113728586,0.8032320814005686
Inquilinus,163,0.0007416648019925967,0.6701461377870563,0.05928057258400928,0.8077709611451943
uncultured_gamma,163,0.0008340764112029643,0.6701461377870563,0.0589384881826755,0.803756721957131
Actinoallomurus_bryophytorum,162,0.0007002778574429852,0.66875,0.05923625577317715,0.812207652787363
uncultured_planctomycete,162,0.0006328057938047246,0.66875,0.05955803351167788,0.8295376121463078
Pleomorphomonas,162,0.0007328732088486032,0.66875,0.059578012105030574,0.825473506632927
uncultured_Acidobacterium,161,0.000858745450080363,0.6659751037344398,0.05801810492982344,0.7961956521739131
Iamia,159,0.0005087112338666784,0.6645962732919255,0.05840583687138604,0.8361595414377836
Reyranella,158,0.0005926575271315538,0.6632231404958677,0.058008841185851874,0.8239135692977505
Pararhizobium_herbae,158,0.0006127471791033664,0.6632231404958677,0.057878895987175,0.8228654357816657
Acidicapsa_sp.,157,0.0004101547405485933,0.6618556701030928,0.058751693898480215,0.8511350645108607
Actinophytocola,157,0.0006102432613163988,0.6618556701030928,0.05709375817736445,0.8165115139637432
Massilia,157,0.0023530944872318274,0.6618556701030928,0.05696598670237372,0.8054875061244487
Terrabacter,157,0.0003755501739694715,0.6618556701030928,0.05884010485290094,0.8638739180140454
Nocardia,156,0.000867887297683258,0.6604938271604939,0.0574964886047556,0.8267990074441688
Chthoniobacter,155,0.0007529674075948761,0.6577868852459017,0.05615694380494262,0.8005027230833682
Devosiaceae,154,0.0004196327689195605,0.6577868852459017,0.057441237512590275,0.857821916645446
Gemmata_sp.,153,0.0004094361607002973,0.656441717791411,0.057858144305853544,0.8737530099759202
Edaphobaculum,153,0.0009395811657449816,0.656441717791411,0.05487227954134191,0.7854317165462676
Rhodococcus,152,0.0005273625918491116,0.6551020408163265,0.05689279626147464,0.8590972464273265
uncultured_Verrucomicrobiaceae,152,0.0005963041752849072,0.6551020408163265,0.05558352712505787,0.8319972115719763
Botryosphaeria_dothidea,150,0.0004305260374232997,0.6511156186612576,0.055694918573698474,0.8462639821029083
Spongospora_subterranea,147,0.0008333950622512877,0.6484848484848484,0.05387672109088474,0.8101761252446184
Sphingomonas_polyaromaticivorans,146,0.0002962694813994548,0.6471774193548387,0.05553715575680341,0.8805857345299952
Erwinia,145,0.0005766858920890312,0.6458752515090543,0.05354004054712201,0.8363026819923371
Clostridium_sensu_stricto_1,145,0.0010081024234217743,0.6445783132530121,0.0519938721342921,0.7830459770114943
Steroidobacter,145,0.000702628139200422,0.6445783132530121,0.05218147133418836,0.7977011494252874
Vicinamibacteraceae,145,0.00029320481303064344,0.6458752515090543,0.05446279622917862,0.8815134099616858
Sphingomonas_azotofornans,144,0.0003340106154852485,0.6432865731462926,0.05404821169226018,0.8661616161616161
Microtrichales,144,0.00028919875041684363,0.6445783132530121,0.05444601229719635,0.8785936285936286
Flavobacterium_hauense,144,0.0004083996152660953,0.6445783132530121,0.053974781024023595,0.8603341103341103
Arsenicitalea,143,0.0004157134430994854,0.642,0.0530540297305872,0.8475327489411997
uncultured_Chloroflexi,143,0.0004508212373881711,0.642,0.053144800284922175,0.841721658623067
Nakamurella_panacisegetis,143,0.00039729190803575247,0.6432865731462926,0.053655497483320005,0.8536393184280509
Granulicella_cerasi,142,0.0005802644869408992,0.642,0.05213960249731966,0.8309859154929577
Leptographium_truncatum,142,0.0004002645093718952,0.642,0.05279927868610901,0.8505643791828988
KI89A_clade,141,0.0004456313611255893,0.6407185628742516,0.05157830419666462,0.839209726443769
Nonomuraea,141,0.0005657918480853876,0.6394422310756972,0.05282436193661344,0.8441742654508612
Pseudoflavitalea,140,0.00019143160261610444,0.6394422310756972,0.05352666771219323,0.9085303186022611
Alcaligenaceae,140,0.00019525390532613675,0.6394422310756972,0.05392056176223146,0.906988694758479
Aquihabitans_daechungensis,140,0.0003675299914957061,0.6394422310756972,0.052008392984555764,0.8569373072970196
Edaphobacter,138,0.00037997784524946356,0.6356435643564357,0.051929135025062224,0.8565534750872739
SC-I-84,137,0.000317138074326128,0.6343873517786561,0.05101911149980444,0.8673250322026621
Pseudorhodoferax,137,0.00024893631324890414,0.6343873517786561,0.052440500115540155,0.8872906826964362
Ferruginibacter,136,0.00022818270483314078,0.6343873517786561,0.05211885205531624,0.8961873638344227
uncultured_Caulobacter,135,0.00016273763579020535,0.6331360946745562,0.0515862418717639,0.9166390270867882
Ammoniphilus,135,0.0009451043640144079,0.6318897637795275,0.048323484197627165,0.7956882255389718
Geobacterales,134,0.00039720773373831214,0.6318897637795275,0.04987904287859116,0.8674671754011896
Roseococcus,132,0.00029379263414920794,0.6281800391389433,0.049448895845969,0.869882026370576
uncultured_Flexibacteraceae,132,0.0003342665001517783,0.6281800391389433,0.048946416061404825,0.8566967383761277
uncultured_Banisveld,129,0.00026448205653172236,0.6245136186770428,0.048217341380650224,0.8726986434108527
uncultured_Bradyrhizobiaceae,128,0.0004352424707840841,0.6245136186770428,0.04676182669569507,0.8328001968503937
Paenarthrobacter,128,0.00012283359904683886,0.6245136186770428,0.04955684767855545,0.9301181102362205
unidentified,127,0.0005305985934484996,0.6233009708737864,0.045716658927649104,0.8220222472190977
Rhodoplanes,127,0.00016057039903888702,0.6233009708737864,0.049001847818539876,0.9135108111486064
Pseudolabrys,126,0.0002564036289599438,0.620889748549323,0.04689424214002683,0.8794920634920635
uncultured_Bacteroidetes,125,0.00029973718906441897,0.6196911196911197,0.047105097958785126,0.8727741935483871
bacterium,125,0.0001906985090602436,0.620889748549323,0.04782738923379256,0.9126451612903226
Wolbachia,125,0.000256407801652255,0.6196911196911197,0.04646931100445866,0.8776774193548387
Blastocatellaceae,123,0.00031569557645478045,0.6173076923076923,0.046351868952984786,0.8661868585898974
Aeromicrobium,123,0.00023156360459444952,0.6173076923076923,0.04680891243495316,0.8853791816606691
Mucilaginibacter_pineti,122,0.0009397742667601759,0.6173076923076923,0.042427117433916625,0.7671047283565913
KD4-96,122,0.00015193750666051277,0.6173076923076923,0.046919958039186915,0.9142392629724969
Ohtaekwangia,121,0.0002464010338952051,0.6149425287356322,0.0455548011412501,0.8725895316804407
uncultured_Dongia,121,0.00012142550288211084,0.6149425287356322,0.047241999911411356,0.9246556473829202
Pseudonocardiaceae,121,0.00011433350268217718,0.6161228406909789,0.047712464260645474,0.9276859504132231
Pseudonocardia,121,0.0001895167837053803,0.6161228406909789,0.04665729760533824,0.8983471074380165
uncultured_Acidimicrobiales,121,0.000206316103184608,0.6161228406909789,0.046129628940574194,0.8950413223140495
Devosia_glacialis,120,0.0002475875136644881,0.6149425287356322,0.04497536244887264,0.8789915966386554
Panacibacter_ginsenosidivorans,116,9.241612616864616e-05,0.6102661596958175,0.04588782762578396,0.9367316341829085
67-14,114,0.00013386086961713326,0.6068052930056711,0.04474491752987438,0.9172488743983853
Williamsia,113,0.00012246664394126316,0.6068052930056711,0.04395428346376538,0.922566371681416
1174-901-12,113,0.00046516030937188634,0.6056603773584905,0.04168754001461264,0.8342288242730721
Fusarium_circinatum,112,0.00013498826559715639,0.6056603773584905,0.04354631833340673,0.918918918918919
Catenulispora,111,0.0001025745314306009,0.6033834586466166,0.04316280078627927,0.9276003276003276
uncultured_Acidobacteria,108,0.00011896266969416807,0.6,0.040412882150517034,0.9214260989961924
Candidatus_Solibacter,108,0.00011896266969416807,0.6,0.040412882150517034,0.9214260989961924
